Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
ax-pro,A-X PRO,"<p>Part A base nutrient providing essential calcium, nitrogen, and iron support. Used together with B-X PRO to form the Catalyx two-part base feed system.</p><p>Use in vegetative feeds. Product QR: /feed-chart?product=ax-pro&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Core Nutrients,"catalyx, nutrients, core nutrients, A-X PRO, two part base, vegetative, QR feed chart",TRUE,Size,1L,CXL-AXP-1L,1200,shopify,0,deny,manual,49.99,TRUE,TRUE,,1,A-X PRO 1L front label,FALSE,A-X PRO | Catalyx Labs,"Part A base nutrient for the Catalyx two-part feed system. Use with B-X PRO.",draft
ax-pro,A-X PRO,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Core Nutrients,"catalyx, nutrients, core nutrients, A-X PRO, two part base, vegetative, QR feed chart",TRUE,Size,5L,CXL-AXP-5L,5600,shopify,0,deny,manual,189.99,TRUE,TRUE,,2,A-X PRO 5L front label,FALSE,A-X PRO | Catalyx Labs,"Part A base nutrient for the Catalyx two-part feed system. Use with B-X PRO.",draft
bx-pro,B-X PRO,"<p>Part B base nutrient delivering phosphorus, potassium, magnesium, and sulfur support. Designed to run with A-X PRO for balanced base feeding.</p><p>Use in vegetative feeds. Product QR: /feed-chart?product=bx-pro&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Core Nutrients,"catalyx, nutrients, core nutrients, B-X PRO, two part base, vegetative, QR feed chart",TRUE,Size,1L,CXL-BXP-1L,1200,shopify,0,deny,manual,49.99,TRUE,TRUE,,1,B-X PRO 1L front label,FALSE,B-X PRO | Catalyx Labs,"Part B base nutrient for the Catalyx two-part feed system. Use with A-X PRO.",draft
bx-pro,B-X PRO,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Core Nutrients,"catalyx, nutrients, core nutrients, B-X PRO, two part base, vegetative, QR feed chart",TRUE,Size,5L,CXL-BXP-5L,5600,shopify,0,deny,manual,189.99,TRUE,TRUE,,2,B-X PRO 5L front label,FALSE,B-X PRO | Catalyx Labs,"Part B base nutrient for the Catalyx two-part feed system. Use with A-X PRO.",draft
root-x,ROOT-X,"<p>Rooting and transplant additive for establishment, root initiation, and transplant response.</p><p>Use during seedling, transplant, and vegetative establishment. Product QR: /feed-chart?product=root-x&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, ROOT-X, root support, seedling, vegetative, QR feed chart",TRUE,Size,250ML,CXL-ROT-250,350,shopify,0,deny,manual,19.99,TRUE,TRUE,,1,ROOT-X 250ML front label,FALSE,ROOT-X | Catalyx Labs,"Root support additive for establishment, transplant response, and early vegetative growth.",draft
root-x,ROOT-X,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, ROOT-X, root support, seedling, vegetative, QR feed chart",TRUE,Size,1L,CXL-ROT-1L,1200,shopify,0,deny,manual,34.99,TRUE,TRUE,,2,ROOT-X 1L front label,FALSE,ROOT-X | Catalyx Labs,"Root support additive for establishment, transplant response, and early vegetative growth.",draft
vital-x,VITAL-X,"<p>Plant vitality and stress-support additive for establishment, recovery windows, and mid-flower resilience.</p><p>Product QR: /feed-chart?product=vital-x&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, VITAL-X, stress support, vitality, QR feed chart",TRUE,Size,250ML,CXL-VIT-250,350,shopify,0,deny,manual,22.99,TRUE,TRUE,,1,VITAL-X 250ML front label,FALSE,VITAL-X | Catalyx Labs,"Stress-support and vitality additive for establishment and demanding growth windows.",draft
vital-x,VITAL-X,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, VITAL-X, stress support, vitality, QR feed chart",TRUE,Size,1L,CXL-VIT-1L,1200,shopify,0,deny,manual,39.99,TRUE,TRUE,,2,VITAL-X 1L front label,FALSE,VITAL-X | Catalyx Labs,"Stress-support and vitality additive for establishment and demanding growth windows.",draft
pk-x,PK-X,"<p>Bloom booster for early and mid-flower phosphorus and potassium support.</p><p>Product QR: /feed-chart?product=pk-x&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, PK-X, bloom booster, early flower, mid flower, QR feed chart",TRUE,Size,250ML,CXL-PKX-250,350,shopify,0,deny,manual,24.99,TRUE,TRUE,,1,PK-X 250ML front label,FALSE,PK-X | Catalyx Labs,"Bloom booster for early and mid-flower support.",draft
pk-x,PK-X,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, PK-X, bloom booster, early flower, mid flower, QR feed chart",TRUE,Size,1L,CXL-PKX-1L,1200,shopify,0,deny,manual,44.99,TRUE,TRUE,,2,PK-X 1L front label,FALSE,PK-X | Catalyx Labs,"Bloom booster for early and mid-flower support.",draft
ripen-x,RIPEN-X,"<p>Late flower finisher for cleaner finishing strategy and reduced nitrogen-heavy feeding near harvest.</p><p>Product QR: /feed-chart?product=ripen-x&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, RIPEN-X, finisher, late flower, QR feed chart",TRUE,Size,250ML,CXL-RIP-250,350,shopify,0,deny,manual,22.99,TRUE,TRUE,,1,RIPEN-X 250ML front label,FALSE,RIPEN-X | Catalyx Labs,"Late flower finisher for cleaner finishing strategy.",draft
ripen-x,RIPEN-X,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Additives,"catalyx, nutrients, additive, RIPEN-X, finisher, late flower, QR feed chart",TRUE,Size,1L,CXL-RIP-1L,1200,shopify,0,deny,manual,39.99,TRUE,TRUE,,2,RIPEN-X 1L front label,FALSE,RIPEN-X | Catalyx Labs,"Late flower finisher for cleaner finishing strategy.",draft
micro-x,MICRO-X,"<p>Trace and micronutrient support for vegetative growth, chlorophyll support, and trace element balance.</p><p>Product QR: /feed-chart?product=micro-x&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Specialist Support,"catalyx, nutrients, specialist, MICRO-X, micronutrients, trace, vegetative, QR feed chart",TRUE,Size,250ML,CXL-MIC-250,350,shopify,0,deny,manual,17.99,TRUE,TRUE,,1,MICRO-X 250ML front label,FALSE,MICRO-X | Catalyx Labs,"Micronutrient support for trace balance and vegetative growth.",draft
micro-x,MICRO-X,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Specialist Support,"catalyx, nutrients, specialist, MICRO-X, micronutrients, trace, vegetative, QR feed chart",TRUE,Size,1L,CXL-MIC-1L,1200,shopify,0,deny,manual,29.99,TRUE,TRUE,,2,MICRO-X 1L front label,FALSE,MICRO-X | Catalyx Labs,"Micronutrient support for trace balance and vegetative growth.",draft
trace-x,TRACE-X,"<p>Bloom-phase trace mineral support for early and late flower windows.</p><p>Product QR: /feed-chart?product=trace-x&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Specialist Support,"catalyx, nutrients, specialist, TRACE-X, trace minerals, flower, QR feed chart",TRUE,Size,250ML,CXL-TRC-250,350,shopify,0,deny,manual,14.99,TRUE,TRUE,,1,TRACE-X 250ML front label,FALSE,TRACE-X | Catalyx Labs,"Trace mineral support for bloom-phase feeding.",draft
trace-x,TRACE-X,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Specialist Support,"catalyx, nutrients, specialist, TRACE-X, trace minerals, flower, QR feed chart",TRUE,Size,1L,CXL-TRC-1L,1200,shopify,0,deny,manual,24.99,TRUE,TRUE,,2,TRACE-X 1L front label,FALSE,TRACE-X | Catalyx Labs,"Trace mineral support for bloom-phase feeding.",draft
flush-x,FLUSH-X,"<p>Flush solution for final flushing, salt reduction, and root-zone cleanup.</p><p>Product QR: /feed-chart?product=flush-x&amp;source=shopify</p>",Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Specialist Support,"catalyx, nutrients, specialist, FLUSH-X, flush, salt reduction, QR feed chart",TRUE,Size,250ML,CXL-FLS-250,350,shopify,0,deny,manual,12.99,TRUE,TRUE,,1,FLUSH-X 250ML front label,FALSE,FLUSH-X | Catalyx Labs,"Flush additive for final flushing and root-zone cleanup.",draft
flush-x,FLUSH-X,,Catalyx Labs,Home & Garden > Lawn & Garden > Gardening > Fertilizers,Specialist Support,"catalyx, nutrients, specialist, FLUSH-X, flush, salt reduction, QR feed chart",TRUE,Size,1L,CXL-FLS-1L,1200,shopify,0,deny,manual,22.99,TRUE,TRUE,,2,FLUSH-X 1L front label,FALSE,FLUSH-X | Catalyx Labs,"Flush additive for final flushing and root-zone cleanup.",draft
